column_id,text,label
date_col_1,2021-01-03,DATE
date_col_1,2021-01-07,DATE
date_col_1,2021-01-12,DATE
date_col_1,2021-01-18,DATE
date_col_1,2021-01-23,DATE
date_col_1,2021-01-27,DATE
date_col_1,2021-02-02,DATE
date_col_1,2021-02-06,DATE
date_col_1,2021-02-11,DATE
date_col_1,2021-02-17,DATE
date_col_1,2023-01-01,DATE
date_col_1,2023-02-15,DATE
date_col_1,2023-03-20,DATE
date_col_1,20230101,DATE
date_col_2,2021-02-21,DATE
date_col_2,2021-02-26,DATE
date_col_2,2021-03-03,DATE
date_col_2,2021-03-08,DATE
date_col_2,2021-03-14,DATE
date_col_2,2021-03-19,DATE
date_col_2,2021-03-24,DATE
date_col_2,2021-03-29,DATE
date_col_2,2021-04-03,DATE
date_col_2,2021-04-09,DATE
date_col_2,1999-12-31,DATE
date_col_2,2000-01-01,DATE
date_col_2,2010-06-15,DATE
date_col_2,2024-01-15,DATE
date_col_3,2021-04-13,DATE
date_col_3,2021-04-18,DATE
date_col_3,2021-04-23,DATE
date_col_3,2021-04-28,DATE
date_col_3,2021-05-03,DATE
date_col_3,2021-05-08,DATE
date_col_3,2021-05-14,DATE
date_col_3,2021-05-19,DATE
date_col_3,2021-05-24,DATE
date_col_3,2021-05-29,DATE
date_col_3,2023/01/01,DATE
date_col_3,2023/02/02,DATE
date_col_3,2023/03/03,DATE
date_col_4,2021-06-03,DATE
date_col_4,2021-06-08,DATE
date_col_4,2021-06-13,DATE
date_col_4,2021-06-18,DATE
date_col_4,2021-06-23,DATE
date_col_4,2021-06-28,DATE
date_col_4,2021-07-03,DATE
date_col_4,2021-07-08,DATE
date_col_4,2021-07-13,DATE
date_col_4,2021-07-18,DATE
date_col_4,2023.01.01,DATE
date_col_4,2023.05.05,DATE
date_col_4,2023.12.31,DATE
date_col_5,2021-07-23,DATE
date_col_5,2021-07-28,DATE
date_col_5,2021-08-02,DATE
date_col_5,2021-08-07,DATE
date_col_5,2021-08-12,DATE
date_col_5,2021-08-17,DATE
date_col_5,2021-08-22,DATE
date_col_5,2021-08-27,DATE
date_col_5,2021-09-01,DATE
date_col_5,2021-09-06,DATE
date_col_5,20240101,DATE
date_col_5,20240202,DATE
date_col_5,20240303,DATE
date_col_6,2021-09-11,DATE
date_col_6,2021-09-16,DATE
date_col_6,2021-09-21,DATE
date_col_6,2021-09-26,DATE
date_col_6,2021-10-01,DATE
date_col_6,2021-10-06,DATE
date_col_6,2021-10-11,DATE
date_col_6,2021-10-16,DATE
