column_id,text,label
mac_col_1,00:1A:2B:3C:4D:5E,MAC
mac_col_1,10:9A:BC:DE:F0:11,MAC
mac_col_1,AA:BB:CC:DD:EE:01,MAC
mac_col_1,12-34-56-78-9A-BC,MAC
mac_col_1,FE:DC:BA:98:76:54,MAC
mac_col_1,001A2B3C4D5F,MAC
mac_col_1,AB-CD-EF-12-34-56,MAC
mac_col_1,DE:AD:BE:EF:00:01,MAC
mac_col_1,00:1A:2B:3C:4D,MAC
mac_col_1,GG:1A:2B:3C:4D:5E,MAC
mac_col_1,AA:BB:CC:DD:EE:FF,MAC
mac_col_1,12:34:56:78:9A:BC,MAC
mac_col_1,01:23:45:67:89:AB,MAC
mac_col_1,00:11:22:33:44:55,MAC
mac_col_1,01:22:33:44:55:66,MAC
mac_col_1,helloWorld,MAC
mac_col_2,00:1B:2C:3D:4E:5F,MAC
mac_col_2,20:AA:BB:CC:DD:EE,MAC
mac_col_2,BA:AD:F0:0D:12:34,MAC
mac_col_2,22-33-44-55-66-77,MAC
mac_col_2,FF:EE:DD:CC:BB:AA,MAC
mac_col_2,001B2C3D4E6A,MAC
mac_col_2,AC-DC-12-34-56-78,MAC
mac_col_2,20:AA:BB:CC:DD,MAC
mac_col_2,ZZ:23:45:67:89:AB,MAC
mac_col_2,02:11:22:33:44:55,MAC
mac_col_2,66:77:88:99:AA:BB,MAC
mac_col_2,CC:DD:EE:FF:00:11,MAC
mac_col_2,22:33:44:55:66:77,MAC
mac_col_2,88:99:AA:BB:CC:DD,MAC
mac_col_2,EE:FF:00:11:22:33,MAC
mac_col_2,44:55:66:77:88:99,MAC
mac_col_2,AB:CD:EF:12:34:56,MAC
mac_col_2,110105199001011234,MAC
mac_col_2,China,MAC
mac_col_3,00:1C:2D:3E:4F:60,MAC
mac_col_3,30:BB:CC:DD:EE:FF,MAC
mac_col_3,BE:EF:CA:FE:12:35,MAC
mac_col_3,33-44-55-66-77-88,MAC
mac_col_3,11:22:33:44:55:66,MAC
mac_col_3,001C2D3E4F70,MAC
mac_col_3,AA-BB-11-22-33-44,MAC
mac_col_3,00:1C:2D:3E:4F,MAC
mac_col_3,HH:22:33:44:55:66,MAC
mac_col_3,0A-1B-2C-3D-4E-5F,MAC
mac_col_3,1C-2D-3E-4F-50-61,MAC
mac_col_3,AB-CD-EF-01-23-45,MAC
mac_col_3,67-89-AB-CD-EF-01,MAC
mac_col_3,23-45-67-89-AB-CD,MAC
mac_col_3,EF-10-20-30-40-50,MAC
mac_col_3,99-88-77-66-55-44,MAC
mac_col_3,88888888,MAC
mac_col_3,https://openai.com,MAC
mac_col_3,粤B12345,MAC
mac_col_4,00:1D:2E:3F:40:61,MAC
mac_col_4,40:CC:DD:EE:FF:00,MAC
mac_col_4,AB:CD:EF:FE:DC:BA,MAC
mac_col_4,44-55-66-77-88-99,MAC
mac_col_4,001D2E3F4061,MAC
mac_col_4,CD-EF-12-34-56-79,MAC
mac_col_4,89:AB:CD:EF:01:23,MAC
mac_col_4,40:CC:DD:EE:FF,MAC
mac_col_4,XY:AB:CD:EF:01:23,MAC
mac_col_4,AABBCCDDEEFF,MAC
